"2Talwar - - AbdullahShahGhaziMazar = 2"
"AbdullahGoth - - ChowkundiMorr = 5"
"AbdullahHaroon - - BohriBazar = 9"
"AbdullahShahGhaziMazar - - BaghIbnQasim = 2"
"AirportRoad - - SharahEFaisalRoad = 6"
"AirportRoad - - UniversityAve = 2"
"AliMurtzaRoad - - FiveStarChowrangi = 3"
"AllahWaliChowrangi - - NationalHighway5 = 8"
"AllahWaliChowrangi - - SharahEJahangirRoad = 3"
"ArtsCouncil - - 2Talwar = 5"
"BaghIbnQasim - - DolmenMall = 3"
"BhainsColony - - ManzilPump = 4"
"BilawalChowrangi - - BoatBasin = 3"
"BilawalChowrangi - - MaiKolachiBypass = 3"
"BinQasimPort - - AbdullahGoth = 4"
"BoatBasin - - BilawalChowrangi = 3"
"BoatBasin - - USCounsulate = 8"
"BohriBazar - - Tower = 4"
"ChowkundiMorr - - FastUniversity = 2"
"CivicCentre - - NationalStadium = 1"
"ColonyGate - - bahadrabad = 3"
"ColonyGate - - LaalKothi = 6"
"ColonyGate - - NataKhanBridge = 4"
"ColonyGate - - NataKhanBridge = 5"
"ColonyGate - - ShahFaisalColony = 2"
"DrighRoadStation - -  LaalKothi = 2"
"DrighRoadStation - - ColonyGate = 3"
"DrighRoadStation - - PafBaseFaisal = 2"
"DrighRoadStation - - PafBaseFaisal = 3"
"DrighRoadStation - - PafBaseFaisal = 5"
"EsaNagri - - CivicCentre = 3"
"FastUniversity - - BhainsColony = 2"
"FastUniversity - - JoharMorr = 19"
"FastUniversity - - Quaidabad = 6"
"FastUniversity - - SharahEFaisalRoad = 13"
"FiveStarChowrangi - - DrighRoadStation = 6"
"FiveStarChowrangi - - JoharMorr = 10"
"FiveStarChowrangi - - KDAChowrangi = 2"
"FiveStarChowrangi - - KDAChowrangi = 6"
"FTC - - KalaPull = 3"
"FTC - - KorangiRoad = 11"
"FTC - - RegentPlaza = 1"
"FTC - - SohrabGoth = 6"
"GulshanChowrangi - - FTC = 6"
"GulshanChowrangi - - Nipa = 3"
"GulshanChowrangi - - NipaChowrangi = 3"
"HassanSquareFlyover - - NawabSiddiqueAliKhanFlyover = 4"
"HussainabadRoad - - KarsazRoad = 6"
"IBCCentreKarachi - - PrinceAlyBoysSchools = 4"
"IIChundrigar - - ShaheenComplex = 2"
"IIChundrigar - - SohrabGoth = 8"
"IndusChorangi - - LandhiRoad = 5"
"JinnahBridge - - LyariExpresswayMauripurToll = 3"
"JoharMorr - - DrighRoadStation = 3"
"JoharMorr - - DrighRoadStation = 4"
"KalaPull - - KPTFlyover = 5"
"Karsaz - - FTC = 14"
"Karsaz - - GulshanChowrangi = 4"
"Karsaz - - JoharMorr = 9"
"Karsaz - - Nursery = 7"
"Karsaz - - ShahrahEFaisalRoad = 8"
"Karsaz - - TipuSultanRoad = 4"
"KarsazRoad - - NataKhanBridge = 5"
"KarsazRoad - - StadiumRoadFlyover = 3"
"KDAChowrangi - - NataKhanBridge = 15"
"KDAChowrangi - - NationalHighway = 11"
"KDAChowrangi - - NationalStadium = 8"
"KDAChowrangi - - NazimabadEidGahGround = 4"
"KDAChowrangi - - ZiauddinChowrangi = 1"
"KorangiRoad - - ShanChowrangi = 2"
"KPTFlyover - - KorangiRoad = 3"
"LaalKothi - - Karsaz = 6"
"LaalKothi - - Karsaz = 7"
"LaalKothi - - PafBaseFaisal = 8"
"Liaqtabad10Number - - EsaNagri = 3"
"LyariExpresswayMauripurToll - - Mauripur = 7"
"MaiKolachiBypass - - USCounsulate = 2"
"Malir15 - - GulshanChowrangi = 15"
"Malir15 - - MalirHalt = 1"
"Malir15 - - Naseerabad = 10"
"Malir15 - - Quaidabad = 11"
"Malir15 - - SohrabGoth = 12"
"MalirHalt - - AirportRoad = 2"
"MalirHalt - - AirportRoad = 4"
"MalirHalt - - ColonyGate = 6"
"MalirHalt - - ColonyGate = 7"
"MalirHalt - - NataKhanBridge = 13"
"MalirRiverBridge - - IndusChorangi = 3"
"MalirSessionCourt - - Malir15 = 5"
"ManzilPump - - Quaidabad = 1"
"Mauripur - - Lyari = 11"
"Mauripur - - MirzaAdamKhanRoad = 9"
"MirzaAdamKhanRoad - - Lyari = 2"
"MurghiKhana - - IBCCentreKarachi = 2"
"MurghiKhana - - PrinceAlyBoysSchools = 6"
"NaganChowrangi - - SohrabGoth = 3"
"Naseerabad - - SohrabGoth = 4"
"NataKhanBridge - - AliMurtzaRoad = 6"
"NataKhanBridge - - DrighRoadStation = 1"
"NataKhanBridge - - DrighRoadStation = 2"
"NataKhanBridge - - FiveStarChowrangi = 9"
"NationalHighway - - FastUniversity = 5"
"NationalHighway - - FiveStarChowrangi = 19"
"NationalHighway - - JoharMorr = 15"
"NationalHighway - - KarsazRoad = 5"
"NationalHighway5 - - SteelMill = 2"
"NationalStadium - - Karsaz = 5"
"NationalStadium - - NationalHighway = 6"
